language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS1,produced,8,CDI_manual_norms,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
English (American),WS1,produced,9,CDI_manual_norms,6,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0
English (American),WS1,produced,10,CDI_manual_norms,8,7,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0
English (American),WS1,produced,11,CDI_manual_norms,12,10,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,1,1,1,0
English (American),WS1,produced,12,CDI_manual_norms,17,14,11,9,8,7,6,6,5,5,4,4,3,3,2,2,2,2,1,1,0
English (American),WS1,produced,13,CDI_manual_norms,23,20,15,13,11,10,9,8,7,7,6,5,5,4,3,3,3,2,2,1,0
English (American),WS1,produced,14,CDI_manual_norms,31,27,21,17,15,14,13,12,10,9,8,7,7,5,5,4,4,3,2,1,0
English (American),WS1,produced,15,CDI_manual_norms,39,36,27,23,21,19,18,17,14,13,11,10,9,8,6,6,5,4,3,1,0
English (American),WS1,produced,16,CDI_manual_norms,48,45,35,30,28,26,24,22,19,17,15,14,13,10,9,8,7,6,3,1,0
English (American),WS1,produced,17,CDI_manual_norms,57,54,44,38,36,33,31,29,26,23,20,19,17,14,12,10,9,7,4,2,0
English (American),WS1,produced,18,CDI_manual_norms,65,63,52,46,44,41,39,38,33,30,27,26,23,18,16,13,11,9,5,2,0
