language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS1,understand,8,CDI_manual_norms,54,47,24,21,20,18,16,16,13,12,10,8,8,7,7,5,4,3,2,2,0
English (American),WS1,understand,9,CDI_manual_norms,62,55,31,27,25,22,20,19,16,15,13,11,10,10,9,7,6,5,3,2,0
English (American),WS1,understand,10,CDI_manual_norms,68,62,39,35,31,28,25,24,21,19,16,14,13,13,11,9,8,7,4,3,0
English (American),WS1,understand,11,CDI_manual_norms,74,68,47,42,37,34,30,29,26,24,21,19,17,16,15,12,10,9,6,5,0
English (American),WS1,understand,12,CDI_manual_norms,78,73,55,50,43,40,36,35,32,30,26,24,22,21,19,16,13,12,9,6,0
English (American),WS1,understand,13,CDI_manual_norms,82,78,63,58,50,47,43,41,38,36,32,30,28,26,23,21,18,16,12,9,0
English (American),WS1,understand,14,CDI_manual_norms,84,81,69,65,56,53,49,47,45,42,39,37,34,32,29,26,23,21,16,12,0
English (American),WS1,understand,15,CDI_manual_norms,86,83,74,71,62,59,55,53,51,49,45,44,41,38,35,32,29,26,22,16,0
English (American),WS1,understand,16,CDI_manual_norms,87,85,79,76,68,65,61,59,58,55,52,51,48,45,41,39,35,33,29,21,0
English (American),WS1,understand,17,CDI_manual_norms,88,87,82,79,72,70,66,64,64,61,59,58,55,52,48,46,43,40,36,27,0
English (American),WS1,understand,18,CDI_manual_norms,89,88,84,82,76,74,71,69,69,67,65,64,62,58,54,53,50,48,45,34,0
