language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS1,produced,8,CDI_manual_norms,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
English (American),WS1,produced,9,CDI_manual_norms,7,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
English (American),WS1,produced,10,CDI_manual_norms,10,6,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0
English (American),WS1,produced,11,CDI_manual_norms,13,8,6,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0
English (American),WS1,produced,12,CDI_manual_norms,18,12,9,7,6,6,4,4,4,3,3,3,2,2,2,2,2,1,1,1,0
English (American),WS1,produced,13,CDI_manual_norms,24,17,12,10,9,8,6,5,5,4,4,3,3,3,2,2,2,2,2,1,0
English (American),WS1,produced,14,CDI_manual_norms,31,23,17,14,12,11,9,7,7,6,5,5,4,4,3,3,2,2,2,1,0
English (American),WS1,produced,15,CDI_manual_norms,40,30,23,19,16,15,13,10,9,8,7,6,6,5,4,3,3,2,2,2,0
English (American),WS1,produced,16,CDI_manual_norms,48,39,31,26,22,20,17,14,13,12,10,8,8,7,5,4,3,3,2,2,0
English (American),WS1,produced,17,CDI_manual_norms,56,48,40,34,29,26,23,19,17,16,13,11,10,8,6,5,4,3,3,2,0
English (American),WS1,produced,18,CDI_manual_norms,64,57,49,42,37,33,31,25,23,21,18,14,14,11,8,6,5,4,3,2,0
