language,form,measure,age,identity,99_pecentile,95_percentile,90_percentile,85_percentile,80_percentile,75_percentile,70_percentile,65_percentile,60_percentile,55_percentile,50_percentile,45_percentile,40_percentile,35_percentile,30_percentile,25_percentile,20_percentile,15_percentile,10_percentile,5_percentile,0_percentile
English (American),WS1,understand,8,CDI_manual_norms,52,32,30,21,18,16,12,10,9,8,7,6,5,4,3,3,2,2,1,1,0
English (American),WS1,understand,9,CDI_manual_norms,62,40,35,25,23,20,15,13,12,10,10,8,7,6,4,4,2,3,2,1,0
English (American),WS1,understand,10,CDI_manual_norms,70,47,40,30,28,25,19,16,15,13,12,10,9,8,6,5,3,4,3,1,0
English (American),WS1,understand,11,CDI_manual_norms,76,55,45,36,33,30,24,21,19,17,16,14,12,10,8,7,5,5,4,2,0
English (American),WS1,understand,12,CDI_manual_norms,81,62,50,42,39,36,30,26,24,22,20,18,16,14,12,10,8,8,6,3,0
English (American),WS1,understand,13,CDI_manual_norms,84,68,56,48,45,42,36,32,30,27,25,23,20,18,16,14,11,10,9,5,0
English (American),WS1,understand,14,CDI_manual_norms,86,73,60,53,51,48,42,39,36,33,30,29,26,23,21,19,16,14,12,8,0
English (American),WS1,understand,15,CDI_manual_norms,88,77,65,59,57,54,49,46,43,39,36,35,32,29,28,25,22,19,17,11,0
English (American),WS1,understand,16,CDI_manual_norms,88,81,69,64,62,60,55,53,50,46,43,42,39,36,35,32,29,25,22,16,0
English (American),WS1,understand,17,CDI_manual_norms,89,83,72,69,67,65,62,59,56,53,49,49,46,44,43,40,38,32,29,23,0
English (American),WS1,understand,18,CDI_manual_norms,89,85,75,73,72,70,67,65,63,59,56,56,53,51,51,48,47,40,37,31,0
