score,percentile
36,1
37,1
38,1
39,1
40,2
41,3
42,4
43,4
44,5
45,6
46,6
47,7
48,8
49,9
50,10
51,12
52,13
53,14
54,16
55,17
56,19
57,20
58,22
59,24
60,26
61,28
62,29
63,31
64,33
65,35
66,37
67,39
68,40
69,42
70,44
71,46
72,47
73,50
74,52
75,54
76,56
77,57
78,58
79,59
80,60
81,61
82,62
83,64
84,65
85,66
86,67
87,68
88,69
89,70
90,72
91,72
92,73
93,74
94,74
95,74
96,75
97,75
98,76
99,77
100,77
101,77
102,78
103,79
104,80
105,81
106,82
107,83
108,84
109,84
110,85
111,86
112,87
113,88
114,90
115,91
116,92
117,93
118,94
119,95
120,96
121,96
122,97
123,97
124,97
125,98
126,98
127,98
128,99
129,99
130,99
131,99
132,99
133,99
134,99
135,99
136,99
137,99
138,99
139,99
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,99
155,99
156,99
157,99
158,99
159,99
160,99
161,99
162,99
163,99
164,99
165,99
166,99
167,99
168,99
169,99
170,99
171,99
172,99
173,99
174,99
175,99
176,99
177,99
178,99
179,99
180,99
