...1,country,state,recorded_date,PRCP,TMAX,prcp_mean,temp_max_mean
1,sweden,NA,2020-01-01,0,5.6,NA,NA
2,sweden,NA,2020-01-02,0,5.9,NA,NA
3,sweden,NA,2020-01-03,0.9,7.8,NA,NA
4,sweden,NA,2020-01-04,0,4.8,NA,NA
5,sweden,NA,2020-01-05,1.3,2.4,NA,NA
6,sweden,NA,2020-01-06,0.2,6.9,NA,NA
7,sweden,NA,2020-01-07,0,6.8,0.34285714285714286,5.742857142857143
8,sweden,NA,2020-01-08,0,10,0.34285714285714286,6.371428571428572
9,sweden,NA,2020-01-09,3.9,5.4,0.9,6.299999999999999
10,sweden,NA,2020-01-10,0.8,2.9,0.8857142857142858,5.6
11,sweden,NA,2020-01-11,0.3,5.5,0.9285714285714286,5.7
12,sweden,NA,2020-01-12,0,8.2,0.7428571428571429,6.528571428571428
13,sweden,NA,2020-01-13,0,5.4,0.7142857142857143,6.314285714285714
14,sweden,NA,2020-01-14,0.6,5.8,0.7999999999999999,6.171428571428571
15,sweden,NA,2020-01-15,1,11.1,0.9428571428571428,6.328571428571428
16,sweden,NA,2020-01-16,0,7.8,0.3857142857142858,6.671428571428571
17,sweden,NA,2020-01-17,0.3,6.1,0.3142857142857142,7.128571428571429
18,sweden,NA,2020-01-18,0.8,6.9,0.3857142857142858,7.328571428571428
19,sweden,NA,2020-01-19,0,5.2,0.3857142857142858,6.8999999999999995
20,sweden,NA,2020-01-20,0,6.6,0.3857142857142858,7.071428571428571
21,sweden,NA,2020-01-21,0,8.9,0.3,7.514285714285714
22,sweden,NA,2020-01-22,0,6.6,0.15714285714285717,6.871428571428572
23,sweden,NA,2020-01-23,0,8,0.15714285714285717,6.9
24,sweden,NA,2020-01-24,0,8,0.1142857142857143,7.171428571428572
25,sweden,NA,2020-01-25,0,4.8,0,6.871428571428572
26,sweden,NA,2020-01-26,0,6.5,0,7.057142857142857
27,sweden,NA,2020-01-27,0.5,5.9,0.07142857142857142,6.957142857142857
28,sweden,NA,2020-01-28,5.8,5,0.9,6.4
29,sweden,NA,2020-01-29,1.2,3.7,1.0714285714285714,5.985714285714287
30,sweden,NA,2020-01-30,1.5,3.5,1.2857142857142858,5.342857142857143
31,sweden,NA,2020-01-31,0.9,3.4,1.414285714285714,4.685714285714285
32,sweden,NA,2020-02-01,1.9,9.7,1.6857142857142855,5.385714285714286
33,sweden,NA,2020-02-02,0,7.2,1.6857142857142855,5.485714285714286
34,sweden,NA,2020-02-03,2.6,2.6,1.9857142857142855,5.014285714285713
35,sweden,NA,2020-02-04,1.8,1.5,1.4142857142857144,4.514285714285714
36,sweden,NA,2020-02-05,0,3.8,1.242857142857143,4.5285714285714285
